规范,条文,条文内容
GB50016-2014(2018年版),5.4.14-1,供建筑内使用的丙类液体燃料，其储罐应布置在建筑外，并应符合下列规定：当总容量不大于15m3，且直埋于建筑附近、面向油罐一面4.0m范围内的建筑外墙为防火墙时，储罐与建筑的防火间距不限；
GB50016-2014(2018年版),5.4.14-2,供建筑内使用的丙类液体燃料，其储罐应布置在建筑外，并应符合下列规定：当总容量大于15m3时，储罐的布置应符合本规范第4.2节的规定；
GB50016-2014(2018年版),5.4.14-3,供建筑内使用的丙类液体燃料，其储罐应布置在建筑外，并应符合下列规定：当设置中间罐时，中间罐的容量不应大于1m3，并应设置在一、二级耐火等级的单独房间内，房间门应采用甲级防火门。
GB50016-2014(2018年版),5.5.2,建筑内的安全出口和疏散门应分散布置，且建筑内每个防火分区或一个防火分区的每个楼层、每个住宅单元每层相邻两个安全出口以及每个房间相邻两个疏散门最近边缘之间的水平距离不应小于5m。
GB50016-2014(2018年版),5.5.5,除人员密集场所外，建筑面积不大于500m2、使用人数不超过30人且埋深不大于10m的地下或半地下建筑(室)，当需要设置2个安全出口时，其中一个安全出口可利用直通室外的金属竖向梯。除歌舞娱乐放映游艺场所外，防火分区建筑面积不大于200m2的地下或半地下设备间、防火分区建筑面积不大于50m2且经常停留人数不超过15人的其他地下或半地下建筑(室)，可设置1个安全出口或1部疏散楼梯。除本规范另有规定外，建筑面积不大于200m2的地下或半地下设备间、建筑面积不大于50m2且经常停留人数不超过15人的其他地下或半地下房间，可设置1个疏散门。
GB50016-2014(2018年版),5.5.6,直通建筑内附设汽车库的电梯，应在汽车库部分设置电梯候梯厅，并应采用耐火极限不低于2.00h的防火隔墙和乙级防火门与汽车库分隔。
GB50016-2014(2018年版),5.5.7,高层建筑直通室外的安全出口上方，应设置挑出宽度不小于1.0m的防护挑檐。
GB50016-2014(2018年版),5.5.9-1,一、二级耐火等级公共建筑内的安全出口全部直通室外确有困难的防火分区，可利用通向相邻防火分区的甲级防火门作为安全出口，但应符合下列要求：利用通向相邻防火分区的甲级防火门作为安全出口时，应采用防火墙与相邻防火分区进行分隔；
GB50016-2014(2018年版),5.5.9-2,一、二级耐火等级公共建筑内的安全出口全部直通室外确有困难的防火分区，可利用通向相邻防火分区的甲级防火门作为安全出口，但应符合下列要求：建筑面积大于1000m2的防火分区，直通室外的安全出口不应少于2个；建筑面积不大于1000m2的防火分区，直通室外的安全出口不应少于1个；
GB50016-2014(2018年版),5.5.9-3,一、二级耐火等级公共建筑内的安全出口全部直通室外确有困难的防火分区，可利用通向相邻防火分区的甲级防火门作为安全出口，但应符合下列要求：该防火分区通向相邻防火分区的疏散净宽度不应大于其按本规范第5.5.21条规定计算所需疏散总净宽度的30％，建筑各层直通室外的安全出口总净宽度不应小于按照本规范第5.5.21条规定计算所需疏散总净宽度。
GB50016-2014(2018年版),5.5.10-1,高层公共建筑的疏散楼梯，当分散设置确有困难且从任一疏散门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：楼梯间应为防烟楼梯间；
GB50016-2014(2018年版),5.5.10-2,高层公共建筑的疏散楼梯，当分散设置确有困难且从任一疏散门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：梯段之间应设置耐火极限不低于1.00h的防火隔墙；
GB50016-2014(2018年版),5.5.10-3,高层公共建筑的疏散楼梯，当分散设置确有困难且从任一疏散门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：楼梯间的前室应分别设置。
GB50016-2014(2018年版),5.5.11,设置不少于2部疏散楼梯的一、二级耐火等级多层公共建筑，如顶层局部升高，当高出部分的层数不超过2层、人数之和不超过50人且每层建筑面积不大于200m2时，高出部分可设置1部疏散楼梯，但至少应另外设置1个直通建筑主体上人平屋面的安全出口，且上人屋面应符合人员安全疏散的要求。
GB50016-2014(2018年版),5.5.12,一类高层公共建筑和建筑高度大于32m的二类高层公共建筑，其疏散楼梯应采用防烟楼梯间。裙房和建筑高度不大于32m的二类高层公共建筑，其疏散楼梯应采用封闭楼梯间。注：当裙房与高层建筑主体之间设置防火墙时，裙房的疏散楼梯可按本规范有关单、多层建筑的要求确定。
GB50016-2014(2018年版),5.5.13A,老年人照料设施的疏散楼梯或疏散楼梯间宜与敞开式外廊直接连通，不能与敞开式外廊直接连通的室内疏散楼梯应采用封闭楼梯间。建筑高度大于24m的老年人照料设施，其室内疏散楼梯应采用防烟楼梯间。建筑高度大于32m的老年人照料设施，宜在32m以上部分增设能连通老年人居室和公共活动场所的连廊，各层连廊应直接与疏散楼梯、安全出口或室外避难场地连通。
GB50016-2014(2018年版),5.5.15-1,公共建筑内房间的疏散门数量应经计算确定且不应少于2个。除托儿所、幼儿园、老年人照料设施、医疗建筑、教学建筑内位于走道尽端的房间外，符合下列条件之一的房间可设置1个疏散门：位于两个安全出口之间或袋形走道两侧的房间，对于托儿所、幼儿园、老年人照料设施，建筑面积不大于50m2；对于医疗建筑、教学建筑，建筑面积不大于75m2；对于其他建筑或场所，建筑面积不大于120m2。
GB50016-2014(2018年版),5.5.15-2,公共建筑内房间的疏散门数量应经计算确定且不应少于2个。除托儿所、幼儿园、老年人照料设施、医疗建筑、教学建筑内位于走道尽端的房间外，符合下列条件之一的房间可设置1个疏散门：位于走道尽端的房间，建筑面积小于50m2且疏散门的净宽度不小于0.90m，或由房间内任一点至疏散门的直线距离不大于15m、建筑面积不大于200m2且疏散门的净宽度不小于1.40m。
GB50016-2014(2018年版),5.5.15-3,公共建筑内房间的疏散门数量应经计算确定且不应少于2个。除托儿所、幼儿园、老年人照料设施、医疗建筑、教学建筑内位于走道尽端的房间外，符合下列条件之一的房间可设置1个疏散门：歌舞娱乐放映游艺场所内建筑面积不大于50m2且经常停留人数不超过15人的厅、室。
GB50016-2014(2018年版),5.5.16-1,剧场、电影院、礼堂和体育馆的观众厅或多功能厅，其疏散门的数量应经计算确定且不应少于2个，并应符合下列规定：对于剧场、电影院、礼堂的观众厅或多功能厅，每个疏散门的平均疏散人数不应超过250人；当容纳人数超过2000人时，其超过2000人的部分，每个疏散门的平均疏散人数不应超过400人。
GB50016-2014(2018年版),5.5.16-2,剧场、电影院、礼堂和体育馆的观众厅或多功能厅，其疏散门的数量应经计算确定且不应少于2个，并应符合下列规定：对于体育馆的观众厅，每个疏散门的平均疏散人数不宜超过400人～700人。
GB50016-2014(2018年版),5.5.19,人员密集的公共场所、观众厅的疏散门不应设置门槛，其净宽度不应小于1.40m，且紧靠门口内外各1.40m范围内不应设置踏步。人员密集的公共场所的室外疏散通道的净宽度不应小于3.00m，并应直接通向宽敞地带。
GB50016-2014(2018年版),5.5.23-1,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：第一个避难层(间)的楼地面至灭火救援场地地面的高度不应大于50m，两个避难层(间)之间的高度不宜大于50m。
GB50016-2014(2018年版),5.5.23-2,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：通向避难层(间)的疏散楼梯应在避难层分隔、同层错位或上下层断开。
GB50016-2014(2018年版),5.5.23-3,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：避难层(间)的净面积应能满足设计避难人数避难的要求，并宜按5.0人／m2计算。
GB50016-2014(2018年版),5.5.23-4,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：避难层可兼作设备层。设备管道宜集中布置，其中的易燃、可燃液体或气体管道应集中布置，设备管道区应采用耐火极限不低于3.00h的防火隔墙与避难区分隔。管道井和设备间应采用耐火极限不低于2.00h的防火隔墙与避难区分隔，管道井和设备间的门不应直接开向避难区；确需直接开向避难区时，与避难层区出入口的距离不应小于5m，且应采用甲级防火门。避难间内不应设置易燃、可燃液体或气体管道，不应开设除外窗、疏散门之外的其他开口。
GB50016-2014(2018年版),5.5.23-5,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：避难层应设置消防电梯出口。
GB50016-2014(2018年版),5.5.23-6,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：应设置消火栓和消防软管卷盘。
GB50016-2014(2018年版),5.5.23-7,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：应设置消防专线电话和应急广播。
GB50016-2014(2018年版),5.5.23-8,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：在避难层(间)进入楼梯间的入口处和疏散楼梯通向避难层(间)的出口处，应设置明显的指示标志。
GB50016-2014(2018年版),5.5.23-9,建筑高度大于100m的公共建筑，应设置避难层(间)。避难层(间)应符合下列规定：应设置直接对外的可开启窗口或独立的机械防烟设施，外窗应采用乙级防火窗。
GB50016-2014(2018年版),5.5.24-1,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：避难间服务的护理单元不应超过2个，其净面积应按每个护理单元不小于25.0m2确定。
GB50016-2014(2018年版),5.5.24-2,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：避难间兼作其他用途时，应保证人员的避难安全，且不得减少可供避难的净面积。
GB50016-2014(2018年版),5.5.24-3,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：应靠近楼梯间，并应采用耐火极限不低于2.00h的防火隔墙和甲级防火门与其他部位分隔。
GB50016-2014(2018年版),5.5.24-4,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：应设置消防专线电话和消防应急广播。
GB50016-2014(2018年版),5.5.24-5,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：避难间的入口处应设置明显的指示标志。
GB50016-2014(2018年版),5.5.24-6,高层病房楼应在二层及以上的病房楼层和洁净手术部设置避难间。避难间应符合下列规定：应设置直接对外的可开启窗口或独立的机械防烟设施，外窗应采用乙级防火窗。
GB50016-2014(2018年版),5.5.24A,3层及3层以上总建筑面积大于3000m2（包括设置在其他建筑内三层及以上楼层）的老年人照料设施，应在二层及以上各层老年人照料设施部分的每座疏散楼梯间的相邻部位设置1间避难间；当老年人照料设施设置与疏散楼梯或安全出口直接连通的开敞式外廊、与疏散走道直接连通且符合人员避难要求的室外平台等时，可不设置避难间。避难间内可供避难的净面积不应小于12m2，避难间可利用疏散楼梯间的前室或消防电梯的前室，其他要求应符合本规范第5.5.24条的规定。供失能老年人使用且层数大于2层的老年人照料设施，应按核定使用人数配备简易防毒面具。
GB50016-2014(2018年版),5.5.25-1,住宅建筑安全出口的设置应符合下列规定：建筑高度不大于27m的建筑，当每个单元任一层的建筑面积大于650m2，或任一户门至最近安全出口的距离大于15m时，每个单元每层的安全出口不应少于2个；
GB50016-2014(2018年版),5.5.25-2,住宅建筑安全出口的设置应符合下列规定：建筑高度大于27m、不大于54m的建筑，当每个单元任一层的建筑面积大于650m2，或任一户门至最近安全出口的距离大于10m时，每个单元每层的安全出口不应少于2个；
GB50016-2014(2018年版),5.5.25-3,住宅建筑安全出口的设置应符合下列规定：建筑高度大于54m的建筑，每个单元每层的安全出口不应少于2个。
GB50016-2014(2018年版),5.5.27-1,住宅建筑的疏散楼梯设置应符合下列规定：建筑高度不大于21m的住宅建筑可采用敞开楼梯间；与电梯井相邻布置的疏散楼梯应采用封闭楼梯间，当户门采用乙级防火门时，仍可采用敞开楼梯间。
GB50016-2014(2018年版),5.5.27-2,住宅建筑的疏散楼梯设置应符合下列规定：建筑高度大于21m、不大于33m的住宅建筑应采用封闭楼梯间；当户门采用乙级防火门时，可采用敞开楼梯间。
GB50016-2014(2018年版),5.5.27-3,住宅建筑的疏散楼梯设置应符合下列规定：建筑高度大于33m的住宅建筑应采用防烟楼梯间。户门不宜直接开向前室，确有困难时，每层开向同一前室的户门不应大于3樘且应采用乙级防火门。
GB50016-2014(2018年版),5.5.28-1,住宅单元的疏散楼梯，当分散设置确有困难且任一户门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：应采用防烟楼梯间。
GB50016-2014(2018年版),5.5.28-2,住宅单元的疏散楼梯，当分散设置确有困难且任一户门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：梯段之间应设置耐火极限不低于1.00h的防火隔墙。
GB50016-2014(2018年版),5.5.28-3,住宅单元的疏散楼梯，当分散设置确有困难且任一户门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：楼梯间的前室不宜共用；共用时，前室的使用面积不应小于6.0m2。
GB50016-2014(2018年版),5.5.28-4,住宅单元的疏散楼梯，当分散设置确有困难且任一户门至最近疏散楼梯间入口的距离不大于10m时，可采用剪刀楼梯间，但应符合下列规定：楼梯间的前室或共用前室不宜与消防电梯的前室合用；楼梯间的共用前室与消防电梯的前室合用时，合用前室的使用面积不应小于12.0m2，且短边不应小于2.4m。
GB50016-2014(2018年版),5.5.30,住宅建筑的户门、安全出口、疏散走道和疏散楼梯的各自总净宽度应经计算确定，且户门和安全出口的净宽度不应小于0.90m，疏散走道、疏散楼梯和首层疏散外门的净宽度不应小于1.10m。建筑高度不大于18m的住宅中一边设置栏杆的疏散楼梯，其净宽度不应小于1.0m。
GB50016-2014(2018年版),5.5.31,建筑高度大于100m的住宅建筑应设置避难层，避难层的设置应符合本规范第5.5.23条有关避难层的要求。
GB50016-2014(2018年版),5.5.32-1,建筑高度大于54m的住宅建筑，每户应有一间房间符合下列规定：应靠外墙设置，并应设置可开启外窗；
GB50016-2014(2018年版),5.5.32-2,建筑高度大于54m的住宅建筑，每户应有一间房间符合下列规定：内、外墙体的耐火极限不应低于1.00h，该房间的门宜采用乙级防火门，外窗的耐火完整性不宜低于1.00h。
GB50016-2014(2018年版),6.1.1,防火墙应直接设置在建筑的基础或框架、梁等承重结构上，框架、梁等承重结构的耐火极限不应低于防火墙的耐火极限。防火墙应从楼地面基层隔断至梁、楼板或屋面板的底面基层。当高层厂房(仓库)屋顶承重结构和屋面板的耐火极限低于1.00h，其他建筑屋顶承重结构和屋面板的耐火极限低于0.50h时，防火墙应高出屋面0.5m以上。
GB50016-2014(2018年版),6.1.2,防火墙横截面中心线水平距离天窗端面小于4.0m，且天窗端面为可燃性墙体时，应采取防止火势蔓延的措施。
GB50016-2014(2018年版),6.1.3,建筑外墙为难燃性或可燃性墙体时，防火墙应凸出墙的外表面0.4m以上，且防火墙两侧的外墙均应为宽度均不小于2.0m的不燃性墙体，其耐火极限不应低于外墙的耐火极限。建筑外墙为不燃性墙体时，防火墙可不凸出墙的外表面，紧靠防火墙两侧的门、窗、洞口之间最近边缘的水平距离不应小于2.0m；采取设置乙级防火窗等防止火灾水平蔓延的措施时，该距离不限。
GB50016-2014(2018年版),6.1.4,建筑内的防火墙不宜设置在转角处，确需设置时，内转角两侧墙上的门、窗、洞口之间最近边缘的水平距离不应小于4.0m；采取设置乙级防火窗等防止火灾水平蔓延的措施时，该距离不限。
GB50016-2014(2018年版),6.2.1,剧场等建筑的舞台与观众厅之间的隔墙应采用耐火极限不低于3.00h的防火隔墙。舞台上部与观众厅闷顶之间的隔墙可采用耐火极限不低于1.50h的防火隔墙，隔墙上的门应采用乙级防火门。舞台下部的灯光操作室和可燃物储藏室应采用耐火极限不低于2.00h的防火隔墙与其他部位分隔。电影放映室、卷片室应采用耐火极限不低于1.50h的防火隔墙与其他部位分隔，观察孔和放映孔应采取防火分隔措施。
GB50016-2014(2018年版),6.2.2,医疗建筑内的手术室或手术部、产房、重症监护室、贵重精密医疗装备用房、储藏间、实验室、胶片室等，附设在建筑内的托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所、老年人照料设施，应采用耐火极限不低于2.00h的防火隔墙和1.00h的楼板与其他场所或部位分隔，墙上必须设置的门、窗应采用乙级防火门、窗。
GB50016-2014(2018年版),6.2.4,建筑内的防火隔墙应从楼地面基层隔断至梁、楼板或屋面板的底面基层。住宅分户墙和单元之间的墙应隔断至梁、楼板或屋面板的底面基层，屋面板的耐火极限不应低于0.50h。
GB50016-2014(2018年版),6.2.5,除本规范另有规定外，建筑外墙上、下层开口之间应设置高度不小于1.2m的实体墙或挑出宽度不小于1.0m、长度不小于开口宽度的防火挑檐；当室内设置自动喷水灭火系统时，上、下层开口之间的实体墙高度不应小于0.8m。当上、下层开口之间设置实体墙确有困难时，可设置防火玻璃墙，但高层建筑的防火玻璃墙的耐火完整性不应低于1.00h，多层建筑的防火玻璃墙的耐火完整性不应低于0.50h。外窗的耐火完整性不应低于防火玻璃墙的耐火完整性要求。住宅建筑外墙上相邻户开口之间的墙体宽度不应小于1.0m；小于1.0m时，应在开口之间设置突出外墙不小于0.6m的隔板。实体墙、防火挑檐和隔板的耐火极限和燃烧性能，均不应低于相应耐火等级建筑外墙的要求。
GB50016-2014(2018年版),6.2.7,附设在建筑内的消防控制室、灭火设备室、消防水泵房和通风空气调节机房、变配电室等，应采用耐火极限不低于2.00h的防火隔墙和1.50h的楼板与其他部位分隔。设置在丁、戊类厂房内的通风机房，应采用耐火极限不低于1.00h的防火隔墙和0.50h的楼板与其他部位分隔。通风、空气调节机房和变配电室开向建筑内的门应采用甲级防火门，消防控制室和其他设备房开向建筑内的门应采用乙级防火门。
GB50016-2014(2018年版),6.2.9-1,建筑内的电梯井等竖井应符合下列规定：电梯井应独立设置，井内严禁敷设可燃气体和甲、乙、丙类液体管道，不应敷设与电梯无关的电缆、电线等。电梯井的井壁除设置电梯门、安全逃生门和通气孔洞外，不应设置其他开口。
GB50016-2014(2018年版),6.2.9-2,建筑内的电梯井等竖井应符合下列规定：电缆井、管道井、排烟道、排气道、垃圾道等竖向井道，应分别独立设置。井壁的耐火极限不应低于1.00h，井壁上的检查门应采用丙级防火门。
GB50016-2014(2018年版),6.2.9-3,建筑内的电梯井等竖井应符合下列规定：建筑内的电缆井、管道井应在每层楼板处采用不低于楼板耐火极限的不燃材料或防火封堵材料封堵。建筑内的电缆井、管道井与房间、走道等相连通的孔隙应采用防火封堵材料封堵。
GB50016-2014(2018年版),6.2.9-4,建筑内的电梯井等竖井应符合下列规定：建筑内的垃圾道宜靠外墙设置，垃圾道的排气口应直接开向室外，垃圾斗应采用不燃材料制作，并应能自行关闭。
GB50016-2014(2018年版),6.2.9-5,建筑内的电梯井等竖井应符合下列规定：电梯层门的耐火极限不应低于1.00h，并应符合现行国家标准《电梯层门耐火试验?完整性、隔热性和热通量测定法》GB／T?27903规定的完整性和隔热性要求。
GB50016-2014(2018年版),6.3.1,在三、四级耐火等级建筑的闷顶内采用可燃材料作绝热层时，屋顶不应采用冷摊瓦。闷顶内的非金属烟囱周围0.5m、金属烟囱0.7m范围内，应采用不燃材料作绝热层。
GB50016-2014(2018年版),6.3.2,层数超过2层的三级耐火等级建筑内的闷顶，应在每个防火隔断范围内设置老虎窗，且老虎窗的间距不宜大于50m。
GB50016-2014(2018年版),6.3.3,内有可燃物的闷顶，应在每个防火隔断范围内设置净宽度和净高度均不小于0.7m的闷顶入口；对于公共建筑，每个防火隔断范围内的闷顶入口不宜少于2个。闷顶入口宜布置在走廊中靠近楼梯间的部位。
GB50016-2014(2018年版),6.4.1-1,疏散楼梯间应符合下列规定：楼梯间应能天然采光和自然通风，并宜靠外墙设置。靠外墙设置时，楼梯间、前室及合用前室外墙上的窗口与两侧门、窗、洞口最近边缘的水平距离不应小于1.0m。
GB50016-2014(2018年版),6.4.1-2,疏散楼梯间应符合下列规定：楼梯间内不应设置烧水间、可燃材料储藏室、垃圾道。
GB50016-2014(2018年版),6.4.1-3,疏散楼梯间应符合下列规定：楼梯间内不应有影响疏散的凸出物或其他障碍物。
GB50016-2014(2018年版),6.4.1-4,疏散楼梯间应符合下列规定：封闭楼梯间、防烟楼梯间及其前室，不应设置卷帘。
GB50016-2014(2018年版),6.4.1-5,疏散楼梯间应符合下列规定：楼梯间内不应设置甲、乙、丙类液体管道。
GB50016-2014(2018年版),6.4.1-6,疏散楼梯间应符合下列规定：封闭楼梯间、防烟楼梯间及其前室内禁止穿过或设置可燃气体管道。敞开楼梯间内不应设置可燃气体管道，当住宅建筑的敞开楼梯间内确需设置可燃气体管道和可燃气体计量表时，应采用金属管和设置切断气源的阀门。
GB50016-2014(2018年版),6.4.3-1,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：应设置防烟设施。
GB50016-2014(2018年版),6.4.3-2,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：前室可与消防电梯间前室合用。
GB50016-2014(2018年版),6.4.3-3,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：前室的使用面积：公共建筑、高层厂房(仓库)，不应小于6.0m2；住宅建筑，不应小于4.5m2。与消防电梯间前室合用时，合用前室的使用面积：公共建筑、高层厂房(仓库)，不应小于10.0m2；住宅建筑，不应小于6.0m2。
GB50016-2014(2018年版),6.4.3-4,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：疏散走道通向前室以及前室通向楼梯间的门应采用乙级防火门。
GB50016-2014(2018年版),6.4.3-5,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：除住宅建筑的楼梯间前室外，防烟楼梯间和前室内的墙上不应开设除疏散门和送风口外的其他门、窗、洞口。
GB50016-2014(2018年版),6.4.3-6,防烟楼梯间除应符合本规范第6.4.1条的规定外，尚应符合下列规定：楼梯间的首层可将走道和门厅等包括在楼梯间前室内形成扩大的前室，但应采用乙级防火门等与其他走道和房间分隔。
GB50016-2014(2018年版),6.4.4-1,除通向避难层错位的疏散楼梯外，建筑内的疏散楼梯间在各层的平面位置不应改变。除住宅建筑套内的自用楼梯外，地下或半地下建筑(室)的疏散楼梯间，应符合下列规定：室内地面与室外出入口地坪高差大于10m或3层及以上的地下、半地下建筑(室)，其疏散楼梯应采用防烟楼梯间；其他地下或半地下建筑(室)，其疏散楼梯应采用封闭楼梯间。
GB50016-2014(2018年版),6.4.4-2,除通向避难层错位的疏散楼梯外，建筑内的疏散楼梯间在各层的平面位置不应改变。除住宅建筑套内的自用楼梯外，地下或半地下建筑(室)的疏散楼梯间，应符合下列规定：应在首层采用耐火极限不低于2.00h的防火隔墙与其他部位分隔并应直通室外，确需在隔墙上开门时，应采用乙级防火门。
GB50016-2014(2018年版),6.4.4-3,除通向避难层错位的疏散楼梯外，建筑内的疏散楼梯间在各层的平面位置不应改变。除住宅建筑套内的自用楼梯外，地下或半地下建筑(室)的疏散楼梯间，应符合下列规定：建筑的地下或半地下部分与地上部分不应共用楼梯间，确需共用楼梯间时，应在首层采用耐火极限不低于2.00h的防火隔墙和乙级防火门将地下或半地下部分与地上部分的连通部位完全分隔，并应设置明显的标志。
GB50016-2014(2018年版),6.4.5-1,室外疏散楼梯应符合下列规定：栏杆扶手的高度不应小于1.10m，楼梯的净宽度不应小于0.90m。
GB50016-2014(2018年版),6.4.5-2,室外疏散楼梯应符合下列规定：倾斜角度不应大于45°。
GB50016-2014(2018年版),6.4.5-3,室外疏散楼梯应符合下列规定：梯段和平台均应采用不燃材料制作。平台的耐火极限不应低于1.00h，梯段的耐火极限不应低于0.25h。
GB50016-2014(2018年版),6.4.5-4,室外疏散楼梯应符合下列规定：通向室外楼梯的门应采用乙级防火门，并应向外开启。
GB50016-2014(2018年版),6.4.5-5,室外疏散楼梯应符合下列规定：除疏散门外，楼梯周围2m内的墙面上不应设置门、窗、洞口。疏散门不应正对梯段。
GB50016-2014(2018年版),6.4.6,用作丁、戊类厂房内第二安全出口的楼梯可采用金属梯，但其净宽度不应小于0.90m，倾斜角度不应大于45°。丁、戊类高层厂房，当每层工作平台上的人数不超过2人且各层工作平台上同时工作的人数总和不超过10人时，其疏散楼梯可采用敞开楼梯或利用净宽度不小于0.90m、倾斜角度不大于60°的金属梯。
GB50016-2014(2018年版),6.4.7,疏散用楼梯和疏散通道上的阶梯不宜采用螺旋楼梯和扇形踏步；确需采用时，踏步上、下两级所形成的平面角度不应大于10°，且每级离扶手250mm处的踏步深度不应小于220mm。
GB50016-2014(2018年版),6.4.8,建筑内的公共疏散楼梯，其两梯段及扶手间的水平净距不宜小于150mm。
GB50016-2014(2018年版),6.4.9,高度大于10m的三级耐火等级建筑应设置通至屋顶的室外消防梯。室外消防梯不应面对老虎窗，宽度不应小于0.6m，且宜从离地面3.0m高处设置。
GB50016-2014(2018年版),6.4.10,疏散走道在防火分区处应设置常开甲级防火门。
GB50016-2014(2018年版),6.4.12-1,用于防火分隔的下沉式广场等室外开敞空间，应符合下列规定：分隔后的不同区域通向下沉式广场等室外开敞空间的开口最近边缘之间的水平距离不应小于13m。室外开敞空间除用于人员疏散外不得用于其他商业或可能导致火灾蔓延的用途，其中用于疏散的净面积不应小于169m2。
GB50016-2014(2018年版),6.4.12-2,用于防火分隔的下沉式广场等室外开敞空间，应符合下列规定：下沉式广场等室外开敞空间内应设置不少于1部直通地面的疏散楼梯。当连接下沉广场的防火分区需利用下沉广场进行疏散时，疏散楼梯的总净宽度不应小于任一防火分区通向室外开敞空间的设计疏散总净宽度。
GB50016-2014(2018年版),6.4.12-3,用于防火分隔的下沉式广场等室外开敞空间，应符合下列规定：确需设置防风雨篷时，防风雨篷不应完全封闭，四周开口部位应均匀布置，开口的面积不应小于该空间地面面积的25％，开口高度不应小于1.0m；开口设置百叶时，百叶的有效排烟面积可按百叶通风口面积的60％计算。
GB50016-2014(2018年版),6.4.13-1,防火隔间的设置应符合下列规定：防火隔间的建筑面积不应小于6.0m2；
GB50016-2014(2018年版),6.4.13-2,防火隔间的设置应符合下列规定：防火隔间的门应采用甲级防火门；
GB50016-2014(2018年版),6.4.13-3,防火隔间的设置应符合下列规定：不同防火分区通向防火隔间的门不应计入安全出口，门的最小间距不应小于4m；
GB50016-2014(2018年版),6.4.13-4,防火隔间的设置应符合下列规定：防火隔间内部装修材料的燃烧性能应为A级；
GB50016-2014(2018年版),6.4.13-5,防火隔间的设置应符合下列规定：不应用于除人员通行外的其他用途。
GB50016-2014(2018年版),6.4.14-1,避难走道的设置应符合下列规定：避难走道防火隔墙的耐火极限不应低于3.00h，楼板的耐火极限不应低于1.50h。
GB50016-2014(2018年版),6.4.14-2,避难走道的设置应符合下列规定：避难走道直通地面的出口不应少于2个，并应设置在不同方向；当避难走道仅与一个防火分区相通且该防火分区至少有1个直通室外的安全出口时，可设置1个直通地面的出口。任一防火分区通向避难走道的门至该避难走道最近直通地面的出口的距离不应大于60m。
GB50016-2014(2018年版),6.4.14-3,避难走道的设置应符合下列规定：避难走道的净宽度不应小于任一防火分区通向该避难走道的设计疏散总净宽度。
GB50016-2014(2018年版),6.4.14-4,避难走道的设置应符合下列规定：避难走道内部装修材料的燃烧性能应为A级。
GB50016-2014(2018年版),6.4.14-5,避难走道的设置应符合下列规定：防火分区至避难走道入口处应设置防烟前室，前室的使用面积不应小于6.0m2，开向前室的门应采用甲级防火门，前室开向避难走道的门应采用乙级防火门。
GB50016-2014(2018年版),6.4.14-6,避难走道的设置应符合下列规定：避难走道内应设置消火栓、消防应急照明、应急广播和消防专线电话。
GB50016-2014(2018年版),6.5.3-1,防火分隔部位设置防火卷帘时，应符合下列规定：除中庭外，当防火分隔部位的宽度不大于30m时，防火卷帘的宽度不应大于10m；当防火分隔部位的宽度大于30m时，防火卷帘的宽度不应大于该部位宽度的1／3，且不应大于20m。
GB50016-2014(2018年版),6.5.3-2,防火分隔部位设置防火卷帘时，应符合下列规定：防火卷帘应具有火灾时靠自重自动关闭功能。
